Faktura-ID,Leverandør-ID,Fakturabeløp (NOK),Fakturadato,Forfallsdato,Faktisk betalingsdato,Betalingsstatus,Dager forsinket,Betalingsbetingelser,INCOTERMS,Kontrakttype,Leverandørkategori,Gj.snitt dager forsinket (leverandør),Antall fakturaer (leverandør),Risikokategori leverandør
FAK-0049,LEV-028,128800,2023-02-26,2023-03-12,2023-03-12,Betalt,0,Netto 14,EXW,Minikonkurranse,Vedlikehold,2.1,32,Medium
FAK-0050,LEV-012,406200,2023-02-27,2023-04-28,2023-05-11,Forsinket,13,Netto 60,CFR,Minikonkurranse,Konsulenttjenester,16.8,48,Høy
FAK-0051,LEV-036,286600,2023-02-28,2023-03-30,2023-03-21,Betalt,0,Netto 30,DPU,Enkeltkontrakt,Konsulenttjenester,6.1,30,Medium
FAK-0052,LEV-031,599800,2023-03-01,2023-04-30,2023-05-13,Forsinket,13,Netto 60,EXW,Åpen anbudskonkurranse,IT,12.9,17,Høy
FAK-0053,LEV-015,1293100,2023-03-01,2023-03-11,2023-03-07,Betalt,0,Netto 10,CPT,Rammeavtale,Bygg,1.3,35,Lav
FAK-0054,LEV-010,4900,2023-03-02,2023-03-12,2023-03-04,Betalt,0,Netto 10,DAP,Rammeavtale,Forbruksmateriell,17.0,43,Høy
FAK-0055,LEV-012,541200,2023-03-03,2023-06-01,2023-05-29,Betalt,0,Netto 90,DDP,Minikonkurranse,Konsulenttjenester,16.8,48,Høy
FAK-0056,LEV-003,713900,2023-03-04,2023-06-02,2023-05-29,Betalt,0,Netto 90,CIP,Åpen anbudskonkurranse,IT,6.3,36,Medium
FAK-0057,LEV-013,197800,2023-03-05,2023-03-15,2023-03-07,Betalt,0,Netto 10,CPT,Enkeltkontrakt,Konsulenttjenester,1.8,18,Lav
FAK-0058,LEV-014,742800,2023-03-05,2023-04-19,2023-04-11,Betalt,0,Netto 45,DAP,Rammeavtale,IT,4.4,29,Medium
FAK-0059,LEV-025,117500,2023-03-06,2023-03-16,2023-03-15,Betalt,0,Netto 10,FCA,Enkeltkontrakt,Transport,10.3,18,Høy
FAK-0060,LEV-012,359800,2023-03-06,2023-05-05,2023-04-28,Betalt,0,Netto 60,DDP,Minikonkurranse,Konsulenttjenester,16.8,48,Høy
FAK-0061,LEV-024,83300,2023-03-09,2023-03-19,2023-03-13,Betalt,0,Netto 10,DDP,Åpen anbudskonkurranse,Vedlikehold,14.4,28,Høy
FAK-0062,LEV-033,291600,2023-03-09,2023-03-19,2023-05-04,Forsinket,46,Netto 10,CFR,Rammeavtale,Konsulenttjenester,12.4,12,Høy
FAK-0063,LEV-002,31900,2023-03-10,2023-05-09,2023-05-03,Betalt,0,Netto 60,EXW,Rammeavtale,Renhold,11.1,23,Høy
FAK-0064,LEV-011,28900,2023-03-13,2023-03-27,2023-04-25,Forsinket,29,Netto 14,CIF,Enkeltkontrakt,Renhold,12.2,17,Høy
FAK-0065,LEV-001,84400,2023-03-13,2023-06-11,2023-06-07,Betalt,0,Netto 90,CIP,Enkeltkontrakt,Transport,7.4,36,Medium
FAK-0066,LEV-028,137900,2023-03-15,2023-03-29,2023-03-23,Betalt,0,Netto 14,EXW,Minikonkurranse,Vedlikehold,2.1,32,Medium
FAK-0067,LEV-028,46700,2023-03-15,2023-03-29,2023-03-28,Betalt,0,Netto 14,EXW,Minikonkurranse,Vedlikehold,2.1,32,Medium
FAK-0068,LEV-003,242000,2023-03-15,2023-06-13,2023-06-10,Betalt,0,Netto 90,DDP,Åpen anbudskonkurranse,IT,6.3,36,Medium
FAK-0069,LEV-010,14100,2023-03-17,2023-03-27,2023-03-23,Betalt,0,Netto 10,DDP,Rammeavtale,Forbruksmateriell,17.0,43,Høy
FAK-0070,LEV-027,529900,2023-03-17,2023-03-27,2023-03-21,Betalt,0,Netto 10,CPT,Åpen anbudskonkurranse,IT,3.2,14,Medium
FAK-0071,LEV-038,28600,2023-03-17,2023-06-15,2023-06-05,Betalt,0,Netto 90,FOB,Rammeavtale,Energi,16.6,44,Høy
FAK-0072,LEV-001,47700,2023-03-18,2023-06-16,2023-06-12,Betalt,0,Netto 90,CIF,Enkeltkontrakt,Transport,7.4,36,Medium
FAK-0073,LEV-009,15500,2023-03-19,2023-05-03,2023-05-01,Betalt,0,Netto 45,FOB,Enkeltkontrakt,Transport,3.0,39,Medium
FAK-0074,LEV-024,147700,2023-03-20,2023-03-30,2023-03-21,Betalt,0,Netto 10,DPU,Åpen anbudskonkurranse,Vedlikehold,14.4,28,Høy
FAK-0075,LEV-002,27700,2023-03-22,2023-05-21,2023-06-28,Forsinket,38,Netto 60,EXW,Rammeavtale,Renhold,11.1,23,Høy
FAK-0076,LEV-004,233200,2023-03-22,2023-06-20,2023-07-11,Forsinket,21,Netto 90,DAP,Enkeltkontrakt,IT,14.8,38,Høy
FAK-0077,LEV-028,75700,2023-03-22,2023-04-05,2023-04-03,Betalt,0,Netto 14,DDP,Minikonkurranse,Vedlikehold,2.1,32,Medium
FAK-0078,LEV-016,1137900,2023-03-25,2023-05-24,2023-06-29,Forsinket,36,Netto 60,CIF,Minikonkurranse,Bygg,2.5,28,Medium
FAK-0079,LEV-006,197000,2023-03-26,2023-04-05,2023-04-05,Betalt,0,Netto 10,CIF,Minikonkurranse,Energi,12.3,28,Høy
FAK-0080,LEV-026,188700,2023-03-26,2023-04-25,2023-04-22,Betalt,0,Netto 30,FCA,Åpen anbudskonkurranse,IT,2.3,37,Medium
FAK-0081,LEV-032,869400,2023-03-27,2023-04-26,2023-05-03,Forsinket,7,Netto 30,DAP,Åpen anbudskonkurranse,Bygg,9.6,26,Medium
FAK-0082,LEV-032,357000,2023-03-29,2023-04-28,2023-04-27,Betalt,0,Netto 30,DAP,Åpen anbudskonkurranse,Bygg,9.6,26,Medium
FAK-0083,LEV-016,564600,2023-03-30,2023-05-29,2023-05-19,Betalt,0,Netto 60,CIF,Minikonkurranse,Bygg,2.5,28,Medium
FAK-0084,LEV-032,1050300,2023-03-30,2023-04-13,2023-04-25,Forsinket,12,Netto 14,DAP,Åpen anbudskonkurranse,Bygg,9.6,26,Medium
FAK-0085,LEV-004,376100,2023-04-01,2023-06-30,2023-06-20,Betalt,0,Netto 90,DAP,Enkeltkontrakt,IT,14.8,38,Høy
FAK-0086,LEV-012,344800,2023-04-02,2023-07-01,2023-08-12,Forsinket,42,Netto 90,CFR,Minikonkurranse,Konsulenttjenester,16.8,48,Høy
FAK-0087,LEV-028,26600,2023-04-04,2023-04-18,2023-04-25,Forsinket,7,Netto 14,DDP,Minikonkurranse,Vedlikehold,2.1,32,Medium
FAK-0088,LEV-026,776600,2023-04-07,2023-05-07,2023-05-07,Betalt,0,Netto 30,FCA,Åpen anbudskonkurranse,IT,2.3,37,Medium
FAK-0089,LEV-011,39800,2023-04-08,2023-05-23,2023-05-27,Forsinket,4,Netto 45,CIF,Enkeltkontrakt,Renhold,12.2,17,Høy
FAK-0090,LEV-010,18500,2023-04-10,2023-04-20,2023-04-22,Forsinket,2,Netto 10,DDP,Rammeavtale,Forbruksmateriell,17.0,43,Høy
FAK-0091,LEV-024,64400,2023-04-11,2023-04-21,2023-04-17,Betalt,0,Netto 10,DDP,Åpen anbudskonkurranse,Vedlikehold,14.4,28,Høy
FAK-0092,LEV-009,17700,2023-04-14,2023-05-29,2023-06-25,Forsinket,27,Netto 45,FOB,Enkeltkontrakt,Transport,3.0,39,Medium
FAK-0093,LEV-005,543600,2023-04-14,2023-04-24,2023-04-21,Betalt,0,Netto 10,DAP,Rammeavtale,IT,7.4,33,Medium
FAK-0094,LEV-001,75700,2023-04-17,2023-07-16,2023-07-16,Betalt,0,Netto 90,CIP,Enkeltkontrakt,Transport,7.4,36,Medium
FAK-0095,LEV-014,404800,2023-04-18,2023-06-02,2023-05-31,Betalt,0,Netto 45,DAP,Rammeavtale,IT,4.4,29,Medium
FAK-0096,LEV-025,41200,2023-04-19,2023-04-29,2023-06-12,Forsinket,44,Netto 10,DPU,Enkeltkontrakt,Transport,10.3,18,Høy
FAK-0097,LEV-022,95000,2023-04-20,2023-05-04,2023-05-24,Forsinket,20,Netto 14,EXW,Minikonkurranse,Transport,19.1,18,Høy
FAK-0098,LEV-018,25700,2023-04-20,2023-05-04,2023-04-25,Betalt,0,Netto 14,CFR,Rammeavtale,Renhold,14.1,15,Høy
FAK-0099,LEV-003,546200,2023-04-21,2023-07-20,2023-07-11,Betalt,0,Netto 90,DDP,Åpen anbudskonkurranse,IT,6.3,36,Medium
FAK-0100,LEV-014,635500,2023-04-22,2023-06-21,2023-07-24,Forsinket,33,Netto 60,EXW,Rammeavtale,IT,4.4,29,Medium
FAK-0101,LEV-002,28900,2023-04-23,2023-06-22,2023-06-15,Betalt,0,Netto 60,EXW,Rammeavtale,Renhold,11.1,23,Høy
FAK-0102,LEV-017,688400,2023-04-23,2023-06-22,2023-08-09,Forsinket,48,Netto 60,DPU,Åpen anbudskonkurranse,IT,18.9,41,Høy
FAK-0103,LEV-003,203200,2023-04-25,2023-07-24,2023-07-21,Betalt,0,Netto 90,DDP,Åpen anbudskonkurranse,IT,6.3,36,Medium
FAK-0104,LEV-017,89400,2023-04-27,2023-06-26,2023-06-17,Betalt,0,Netto 60,CFR,Åpen anbudskonkurranse,IT,18.9,41,Høy
FAK-0105,LEV-001,17000,2023-04-27,2023-07-26,2023-07-17,Betalt,0,Netto 90,CIP,Enkeltkontrakt,Transport,7.4,36,Medium
FAK-0106,LEV-010,20600,2023-04-28,2023-05-08,2023-05-02,Betalt,0,Netto 10,DAP,Rammeavtale,Forbruksmateriell,17.0,43,Høy
FAK-0107,LEV-028,72600,2023-04-29,2023-05-13,2023-05-21,Forsinket,8,Netto 14,EXW,Minikonkurranse,Vedlikehold,2.1,32,Medium
FAK-0108,LEV-015,874000,2023-04-30,2023-05-30,2023-05-24,Betalt,0,Netto 30,CPT,Rammeavtale,Bygg,1.3,35,Lav
FAK-0109,LEV-017,618500,2023-05-01,2023-05-15,2023-06-27,Forsinket,43,Netto 14,EXW,Åpen anbudskonkurranse,IT,18.9,41,Høy
FAK-0110,LEV-003,634100,2023-05-01,2023-07-30,2023-08-30,Forsinket,31,Netto 90,DDP,Åpen anbudskonkurranse,IT,6.3,36,Medium
FAK-0111,LEV-032,1009600,2023-05-03,2023-05-17,2023-05-10,Betalt,0,Netto 14,DAP,Åpen anbudskonkurranse,Bygg,9.6,26,Medium
FAK-0112,LEV-040,90100,2023-05-04,2023-06-03,2023-05-28,Betalt,0,Netto 30,CIF,Enkeltkontrakt,Vedlikehold,12.6,19,Høy
FAK-0113,LEV-003,720000,2023-05-05,2023-08-03,2023-09-29,Forsinket,57,Netto 90,CIP,Åpen anbudskonkurranse,IT,6.3,36,Medium
FAK-0114,LEV-028,78300,2023-05-06,2023-05-20,2023-05-20,Betalt,0,Netto 14,EXW,Minikonkurranse,Vedlikehold,2.1,32,Medium
FAK-0115,LEV-008,49100,2023-05-09,2023-06-08,2023-06-01,Betalt,0,Netto 30,CIP,Rammeavtale,Renhold,13.8,12,Høy
FAK-0116,LEV-001,29800,2023-05-09,2023-08-07,2023-09-10,Forsinket,34,Netto 90,CIP,Enkeltkontrakt,Transport,7.4,36,Medium
FAK-0117,LEV-024,103900,2023-05-10,2023-05-20,2023-07-12,Forsinket,53,Netto 10,DDP,Åpen anbudskonkurranse,Vedlikehold,14.4,28,Høy
FAK-0118,LEV-009,56000,2023-05-10,2023-06-24,2023-06-21,Betalt,0,Netto 45,FOB,Enkeltkontrakt,Transport,3.0,39,Medium
FAK-0119,LEV-003,498100,2023-05-13,2023-08-11,2023-08-05,Betalt,0,Netto 90,DDP,Åpen anbudskonkurranse,IT,6.3,36,Medium
FAK-0120,LEV-005,140400,2023-05-15,2023-06-14,2023-07-31,Forsinket,47,Netto 30,DAP,Rammeavtale,IT,7.4,33,Medium
FAK-0121,LEV-031,420800,2023-05-16,2023-07-15,2023-08-06,Forsinket,22,Netto 60,CFR,Åpen anbudskonkurranse,IT,12.9,17,Høy
FAK-0122,LEV-039,55300,2023-05-16,2023-07-15,2023-08-22,Forsinket,38,Netto 60,DPU,Enkeltkontrakt,Transport,9.4,8,Medium
FAK-0123,LEV-013,213800,2023-05-18,2023-05-28,2023-06-13,Forsinket,16,Netto 10,CPT,Enkeltkontrakt,Konsulenttjenester,1.8,18,Lav
FAK-0124,LEV-003,428100,2023-05-19,2023-08-17,2023-08-20,Forsinket,3,Netto 90,DDP,Åpen anbudskonkurranse,IT,6.3,36,Medium
FAK-0125,LEV-008,48400,2023-05-19,2023-06-18,2023-08-04,Forsinket,47,Netto 30,DAP,Rammeavtale,Renhold,13.8,12,Høy
FAK-0126,LEV-012,505500,2023-05-21,2023-08-19,2023-08-10,Betalt,0,Netto 90,DDP,Minikonkurranse,Konsulenttjenester,16.8,48,Høy
FAK-0127,LEV-019,113200,2023-05-22,2023-06-05,2023-05-28,Betalt,0,Netto 14,FAS,Minikonkurranse,IT,13.9,32,Høy
FAK-0128,LEV-040,115100,2023-05-22,2023-06-21,2023-07-11,Forsinket,20,Netto 30,CIF,Enkeltkontrakt,Vedlikehold,12.6,19,Høy
FAK-0129,LEV-028,45800,2023-05-23,2023-06-06,2023-06-04,Betalt,0,Netto 14,DDP,Minikonkurranse,Vedlikehold,2.1,32,Medium
FAK-0130,LEV-009,42400,2023-05-23,2023-07-07,2023-07-02,Betalt,0,Netto 45,FOB,Enkeltkontrakt,Transport,3.0,39,Medium
FAK-0131,LEV-006,232800,2023-05-23,2023-06-02,2023-05-24,Betalt,0,Netto 10,CFR,Minikonkurranse,Energi,12.3,28,Høy
FAK-0132,LEV-026,526100,2023-05-26,2023-06-25,2023-06-25,Betalt,0,Netto 30,FCA,Åpen anbudskonkurranse,IT,2.3,37,Medium
FAK-0133,LEV-009,88600,2023-05-26,2023-07-10,2023-07-19,Forsinket,9,Netto 45,FOB,Enkeltkontrakt,Transport,3.0,39,Medium
FAK-0134,LEV-017,715200,2023-05-26,2023-07-25,2023-09-19,Forsinket,56,Netto 60,EXW,Åpen anbudskonkurranse,IT,18.9,41,Høy
FAK-0135,LEV-022,27400,2023-05-26,2023-06-09,2023-06-13,Forsinket,4,Netto 14,EXW,Minikonkurranse,Transport,19.1,18,Høy
FAK-0136,LEV-032,557000,2023-05-30,2023-06-13,2023-06-04,Betalt,0,Netto 14,DAP,Åpen anbudskonkurranse,Bygg,9.6,26,Medium
FAK-0137,LEV-007,192300,2023-06-01,2023-07-01,2023-07-30,Forsinket,29,Netto 30,CIP,Rammeavtale,IT,14.7,25,Høy
FAK-0138,LEV-017,98800,2023-06-02,2023-08-01,2023-08-04,Forsinket,3,Netto 60,DPU,Åpen anbudskonkurranse,IT,18.9,41,Høy
FAK-0139,LEV-011,14600,2023-06-02,2023-06-16,2023-06-24,Forsinket,8,Netto 14,CIF,Enkeltkontrakt,Renhold,12.2,17,Høy
FAK-0140,LEV-005,463500,2023-06-03,2023-06-13,2023-06-06,Betalt,0,Netto 10,DAP,Rammeavtale,IT,7.4,33,Medium
FAK-0141,LEV-023,104600,2023-06-04,2023-08-03,2023-08-02,Betalt,0,Netto 60,CFR,Åpen anbudskonkurranse,Transport,14.2,21,Høy
FAK-0142,LEV-008,44600,2023-06-04,2023-07-04,2023-06-28,Betalt,0,Netto 30,DAP,Rammeavtale,Renhold,13.8,12,Høy
FAK-0143,LEV-028,99700,2023-06-05,2023-06-19,2023-06-12,Betalt,0,Netto 14,DDP,Minikonkurranse,Vedlikehold,2.1,32,Medium
FAK-0144,LEV-006,70500,2023-06-06,2023-08-05,2023-08-05,Betalt,0,Netto 60,CFR,Minikonkurranse,Energi,12.3,28,Høy
FAK-0145,LEV-010,19900,2023-06-07,2023-06-17,2023-06-08,Betalt,0,Netto 10,DAP,Rammeavtale,Forbruksmateriell,17.0,43,Høy
FAK-0146,LEV-016,1064200,2023-06-09,2023-08-08,2023-08-08,Betalt,0,Netto 60,CIF,Minikonkurranse,Bygg,2.5,28,Medium
FAK-0147,LEV-003,545400,2023-06-09,2023-09-07,2023-09-02,Betalt,0,Netto 90,CIP,Åpen anbudskonkurranse,IT,6.3,36,Medium
FAK-0148,LEV-017,518600,2023-06-10,2023-08-09,2023-08-09,Betalt,0,Netto 60,DPU,Åpen anbudskonkurranse,IT,18.9,41,Høy
FAK-0149,LEV-005,186500,2023-06-10,2023-07-10,2023-07-07,Betalt,0,Netto 30,CFR,Rammeavtale,IT,7.4,33,Medium
FAK-0150,LEV-008,45400,2023-06-11,2023-07-11,2023-07-04,Betalt,0,Netto 30,DAP,Rammeavtale,Renhold,13.8,12,Høy
FAK-0151,LEV-015,592800,2023-06-11,2023-07-11,2023-07-08,Betalt,0,Netto 30,FAS,Rammeavtale,Bygg,1.3,35,Lav
FAK-0152,LEV-017,513300,2023-06-12,2023-06-26,2023-07-14,Forsinket,18,Netto 14,EXW,Åpen anbudskonkurranse,IT,18.9,41,Høy
FAK-0153,LEV-025,102500,2023-06-13,2023-06-23,2023-06-15,Betalt,0,Netto 10,DPU,Enkeltkontrakt,Transport,10.3,18,Høy
FAK-0154,LEV-012,446800,2023-06-14,2023-08-13,2023-09-23,Forsinket,41,Netto 60,DDP,Minikonkurranse,Konsulenttjenester,16.8,48,Høy
FAK-0155,LEV-022,32200,2023-06-15,2023-06-29,2023-08-27,Forsinket,59,Netto 14,EXW,Minikonkurranse,Transport,19.1,18,Høy
FAK-0156,LEV-006,196200,2023-06-19,2023-08-18,2023-08-12,Betalt,0,Netto 60,CIF,Minikonkurranse,Energi,12.3,28,Høy
FAK-0157,LEV-024,82700,2023-06-21,2023-07-01,2023-06-25,Betalt,0,Netto 10,DDP,Åpen anbudskonkurranse,Vedlikehold,14.4,28,Høy
FAK-0158,LEV-016,820200,2023-06-22,2023-08-21,2023-08-18,Betalt,0,Netto 60,CIF,Minikonkurranse,Bygg,2.5,28,Medium
FAK-0159,LEV-026,726000,2023-06-22,2023-07-22,2023-07-13,Betalt,0,Netto 30,CIP,Åpen anbudskonkurranse,IT,2.3,37,Medium
FAK-0160,LEV-018,14100,2023-06-23,2023-07-03,2023-06-27,Betalt,0,Netto 10,CFR,Rammeavtale,Renhold,14.1,15,Høy
FAK-0161,LEV-031,694300,2023-06-23,2023-08-22,2023-08-16,Betalt,0,Netto 60,CFR,Åpen anbudskonkurranse,IT,12.9,17,Høy
FAK-0162,LEV-009,45900,2023-06-23,2023-08-07,2023-07-30,Betalt,0,Netto 45,FOB,Enkeltkontrakt,Transport,3.0,39,Medium
FAK-0163,LEV-002,26600,2023-06-24,2023-08-23,2023-09-15,Forsinket,23,Netto 60,EXW,Rammeavtale,Renhold,11.1,23,Høy
FAK-0164,LEV-003,451700,2023-07-02,2023-09-30,2023-09-24,Betalt,0,Netto 90,FOB,Åpen anbudskonkurranse,IT,6.3,36,Medium
FAK-0165,LEV-001,28500,2023-07-02,2023-09-30,2023-09-27,Betalt,0,Netto 90,CIF,Enkeltkontrakt,Transport,7.4,36,Medium
FAK-0166,LEV-024,70000,2023-07-02,2023-07-12,2023-07-05,Betalt,0,Netto 10,DDP,Åpen anbudskonkurranse,Vedlikehold,14.4,28,Høy
FAK-0167,LEV-038,284600,2023-07-04,2023-10-02,2023-09-28,Betalt,0,Netto 90,DDP,Rammeavtale,Energi,16.6,44,Høy
FAK-0168,LEV-010,4900,2023-07-05,2023-07-15,2023-08-29,Forsinket,45,Netto 10,DAP,Rammeavtale,Forbruksmateriell,17.0,43,Høy
FAK-0169,LEV-012,301200,2023-07-05,2023-09-03,2023-08-26,Betalt,0,Netto 60,CFR,Minikonkurranse,Konsulenttjenester,16.8,48,Høy
FAK-0170,LEV-038,258400,2023-07-07,2023-10-05,2023-09-30,Betalt,0,Netto 90,FOB,Rammeavtale,Energi,16.6,44,Høy
